,query,Shelter,Health-Wellbeing,Food-Clothing,Safety- Protection,fear,despair,fatigue,neutrality,frustration,neutrality,simple (one topic),complex (multi-topic),unclear,non-question,Undocumented,Asylum Seeker,EU labour Migrant,Residence permit/ Dutch nationality
1,I don't have a place to stay because I escaped from my trafficker. I don't know where to start.,x,,,,x,,,,,,x,,,,,x,,
2,"I am running away from my abuser, who is searching for me and my children. I do not know where I am and I am very afraid. What can I do?",,,,x,x,,,,,,x,,,,,,,
3,"I need help because I am in danger, but I do not want to go to the police because I am afraid of being deported.",,,,x,x,,,,,,x,,,,x,,,
4,"I have been to 3 hospitals, but they refuse me because I am undocumented. I am in immense pain and need immediate attention. I am in Amsterdam. What do I do?",,x,,,,x,,,,,x,,,,x,,,
5,I need a doctor.,,x,,,,,,,,x,x,,,,,,,
6,I'm homeless and looking for a shelter. I am very tired. I don't have anyone to help me.,x,,,,,,x,,,,x,,,,,,,
7,My family and I got denied access to the shelter. We are from Ukraine and we are in Rotterdam right now. We are very tired.,x,,,,,,x,,,,x,,,,,x,,
8,"I live in Utrecht and I am on the streets now because of an abusive landlord. I went to a homeless shelter with my children and they refused me because I still have my job and some saved up money, but not enough for a hotel. Now they are threatening to take my children away. Help me!",x,,,x,x,,,,,,,x,,,,,,x
9,"live in Utrecht, but I got kicked out of my house today. Where can I find a warm meal?",,,x,,,,,,,x,x,,,,,,,x
10,"I have applied for a Dublin claim, and I have been waiting for a response for weeks now. This is incredibly frustrating. I have family here that depends on me and I feel completely stuck.",,,,x,,x,,,,,,,,x,,,,
11,You already told me about the day shelters. I know about those. I need an actual place to sleep tonight with my children. Stop giving me the same information!,x,,,,,,,,x,,x,,,,,,,
12,"I am from Ukraine and I work in a factory. I live with my other colleagues, and my boss pays for my rent, utilities, and gives me an allowance. I want to go home this Christmas to visit my family, but he refuses because he says it's the busiest season and if I leave everyone will want to go home as well, so we will all lose our jobs. Can you help somehow?",,,,x,,,,,,x,x,,,,,,x,
13,"I am from Morocco and I have been living in the Netherlands for 20 years. My doctor retired and the new practice is refusing to register me because I don't have a BSN. I know my rights, and this is incredibly frustrating. What else can I do?",,x,,,,,,,x,,x,,,,x,,,
14,I need food!,,,x,,,x,,,,,x,,,,,,,
15,I have diabetes and I am undocumented. I need insulin but I also cannot afford the food I need for my diet. The doctor told me I need to eat differently but everything is too expensive.,,x,,,,x,,,,,,x,,,x,,,
16,"I have a temporary residence permit from Portugal, but I am originally from Iraq. I moved to the Netherlands to find work, but now they are telling me I cannot work here. I don’t understand. I have European papers.",,,,x,,x,,,,,,,,x,,,,x
17,You referred me to an organisation for asylum and they told me I don’t qualify. Nobody is helping me. I have been going from place to place and everyone keeps saying the same thing. What was the point of sending me there?,,,,x,,,,,x,,,,,x,,x,,
18,I am pregnant and my landlord kicked me out because he doesn’t want a baby in the house. I need to see a doctor for my pregnancy and I also have nowhere to sleep tonight. I don’t know what to do. I am so tired of this.,x,x,,,,,x,,,,,x,,,,,,
19,wer find winter clodes. I nigeria.,,,x,,,,,,,x,,,x,,,,,
20,"I am undocumented and I have two children. They need to go to school but I am afraid to register them. Also, where can I get winter clothes for them? They are growing fast",,,x,x,x,,,,,,,x,,,x,,,
21,"I lost my job and got kicked out of my house because I could not pay rent. I am from Poland. I have been homeless for a couple of days, and need to shower and do laundry.",,,x,,x,,,,,,,x,,,x,,,
